Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
76,M-4899,PROLIFE DIAGNOSTICS A UNIT OF BALAJI MEDISCANS PVT. LTD.,nabl032741,2022,Medical,Onsite Surveillance,MANAS BAISAKH,drmbaisakh@gmail.com,7205050560,"PLOT NO - 361/3074, AIIMS NAGAR, PATRAPADA",Odisha,Bhubaneswar,751019,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,MI CAB - Interventional Radiology,MI CAB - MRI,MI CAB - Ultrasound and Color Doppler,MI CAB - Projectional Radiography and Fluoroscopy,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6591,13/06/2024,12/06/2026,,10/08/2025,Archive Applications,May 13 2026 7:30AM
77,M-4851,SIRONA DIAGNOSTICS PRIVATE LIMITED,nabl032764,2022,Medical,Renewal of Accreditation,Faisal Ansari,nablsirona2023@gmail.com,9820640724,"GROUND FLOOR, MANOJ CHS, SHANKAR GHANEKAR ROAD, PRABHADEVI",Maharashtra,Mumbai,400025,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6198,15/12/2025,14/12/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
78,M-4871,MADAN HOSPITAL (DEPARTMENT OF LABORATORY) A UNIT OF DESHRAJ JAN KALYAN SAMITI,nabl032779,2022,Medical,Renewal of Accreditation,SHASHI SHEKAR TRIPATHI,pathologylab@madanhospital.com,9458408640,KANDHANI,Uttar Pradesh,Etawah,206001,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-8010,23/03/2026,22/03/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
79,M-4830,"SAHYADRI HOSPITALS Private Limited, SAHYADRI SPECIALITY LABS",nabl032823,2022,Medical,Renewal of Accreditation,RUPA SHARMA,pathologists.ngr@manipalhospitals.com,8149902712,"HERMES HERITAGE PHASE II, SHASTRI NAGAR, YERAWADA",Maharashtra,Pune,411006,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-6416,22/03/2026,21/03/2030,,,Archive Applications,May 13 2026 7:30AM
80,M-4831,"SAHYADRI HOSPITALS PRIVATE LIMITED, SAHYADRI SPECIALITY LABS",nabl032831,2022,Medical,Renewal of Accreditation,NIMMIE MARAK,pathologists.lab@manipalhospitals.com,7755922216,"S.NO.163A/1A/26A, 5, 21, BHOSALE GARDEN, PUNE-SOLAPUR ROAD, HADAPSAR",Maharashtra,Pune,411028,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-6347,27/02/2026,26/02/2030,,,Archive Applications,May 13 2026 7:30AM
81,M-4799,DEPARTMENT OF PATHOLOGY AND LABORATORY MEDICINE JAGJIVANRAM HOSPITAL WESTERN RAILWAY,nabl032858,2022,Medical,Renewal of Accreditation,YOGANAND V. PATIL,MRUNALKESARI@GMAIL.COM,9004490521,MARATHA MANDIR MARG,Maharashtra,Mumbai,400008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7222,12/03/2025,11/03/2029,,,Archive Applications,May 13 2026 7:30AM
82,M-4832,QUADRA MEDICAL SERVICES PRIVATE LIMITED,nabl032872,2022,Medical,Renewal of Accreditation,Saikat Mondal,quadramicrobiology41@gmail.com,9830108209,"41, HAZRA ROAD",West Bengal,Kolkata,700019,Accreditation Certificate Approved and Issued,"Molecular Testing,Microbiology & Infectious disease serology",,MC-6185,02/12/2025,01/12/2029,,12/12/2025,Archive Applications,May 13 2026 7:30AM
83,M-5130,ACTREC DIAGNOSTIC SERVICES,nabl032886,2022,Medical,First Accreditation,CHITAL NARESH,cnaresh@actrec.gov.in,9820954406,"ACTREC TATA MEMORIAL CENTRE, PLOT NO.1& 2, SECTOR NO.22, KHARGHAR",Maharashtra,Navi Mumbai,410210,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-6654,03/07/2024,02/07/2026,,,Archive Applications,May 13 2026 7:30AM
84,M-4920,"CLINICAL BIOCHEMISTRY LABORATORY, LN HOSPITAL",nabl032891,2022,Medical,Onsite Surveillance,Anubhuti,anubhuti1234@rediffmail.com,9999323592,"JAWAHARLAL NEHRU MARG, MAULANA AZAD MEDICAL COLLEGE CAMPUS, DELHI GATE",Delhi,New Delhi,110002,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6755,24/11/2025,22/08/2026,,,Gayathri S,May 13 2026 7:30AM
85,M-4801,"DEPARTMENT OF LABORATORY MEDICINE, ASHWINI SAHAKARI RUGNALAYA ANI SANSHODHAN KENDRA NIYAMIT",nabl032908,2022,Medical,Renewal of Accreditation,PRASHANT RENAKE,ashwinimicro83@gmail.com,9890176460,"SURVEY NO. 3123, TANK PLOT NO. 3, NORTH SADAR BAZAR",Maharashtra,Solapur,413003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Microbiology & Infectious disease serology",,MC-7310,12/04/2025,11/04/2029,,,Archive Applications,May 13 2026 7:30AM
86,M-4894,MODERN DIAGNOSTIC & RESEARCH CENTRE PVT LTD,nabl032911,2022,Medical,Onsite Surveillance,AMAN CHANANA,mdrcymn@gmail.com,9813020108,"NO 25C/L, BEND BOX BUILDING, MODEL TOWN",Haryana,Yamunanagar,135106,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6643,22/09/2025,01/07/2026,,,Gayathri S,May 13 2026 7:30AM
87,M-4829,INTENSE DIAGNOSTICS LLP,nabl032913,2022,Medical,Renewal of Accreditation,RAVINDRA MOTE,mote.ravindra@gmail.com,8888884024,"SHOP NO. 21, BUILDING NO. 37, SHANTI PLAZA CHS LTD, SECTOR VI",Maharashtra,Mira Bhayandar,401107,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6093,17/11/2025,31/10/2029,,22/11/2025,Archive Applications,May 13 2026 7:30AM
88,M-4805,AGILUS PATHLABS - DR. PHADKE LABS (AGILUS PATHLABS PRIVATE LIMITED),nabl032932,2022,Medical,Renewal of Accreditation,SANDEEP S SHARMA,sandeep.sharma@agilus.in,9820790143,"UDYAM, 1ST FLOOR, SENAPATI BAPAT SQUARE, RANADE ROAD, SHIVAJI PARK, DADAR (WEST)",Maharashtra,Mumbai,400028,Accreditation Certificate Approved and Issued,Clinical Pathology,,MC-5875,28/03/2025,27/03/2029,,,Archive Applications,May 13 2026 7:30AM
89,M-5476,"HOMI BHABHA CANCER HOSPITAL & RESEARCH CENTRE, DIAGNOSTIC SERVICES",nabl032941,2022,Medical,First Accreditation,Rahul Ravi,nablhbchrcv@gmail.com,6207561635,AGANAMPUDI,Andhra Pradesh,Visakhapatnam,530046,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7308,11/04/2025,10/04/2029,,,Archive Applications,May 13 2026 7:30AM
90,M-4925,KAILASH DEEPAK HOSPITAL,nabl032954,2022,Medical,Renewal of Accreditation,SANGITA SINGH,LAB@KAILASHDEEPAKHOSPITAL.COM,9871240719,"5, INSTITUTIONAL AREA, VIKAS MARG EXTN-II",Delhi,Delhi,110092,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-6344,27/02/2026,26/02/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
91,M-4848,"REGIONAL VIROLOGY LABORATORY, AIIMS BHOPAL",nabl032962,2022,Medical,Renewal of Accreditation,Dr. Debasis Biswas,debasis.microbiology@aiimsbhopal.edu.in,7747010312,SAKET NAGAR,Madhya Pradesh,Bhopal,462020,Accreditation Certificate Approved and Issued,"Molecular Testing,Microbiology & Infectious disease serology",,MC-6151,28/11/2025,27/11/2029,,23/12/2025,Gayathri S,May 13 2026 7:30AM
92,M-4822,DDRC AGILUS PATHLABS LIMITED,nabl033011,2022,Medical,Renewal of Accreditation,SONI GEORGE,soni.george@agilus.in,9778968016,"G 131, DDRC AGILUS TOWER, PANAMPILLY NAGAR",Kerala,Ernakulam,682036,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7005,03/12/2024,02/12/2028,,,Archive Applications,May 13 2026 7:30AM
93,M-5765,JAY CT SCAN CENTRE,nabl033053,2022,Medical,First Accreditation,NAMAN SHARMA,lab.jayctscan@gmail.com,9928365484,"VINAYAK NAGAR, HOUSING BOARD ROAD, ALANPUR",Rajasthan,Sawai Madhopur,322021,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7792,28/11/2025,27/11/2029,,,Archive Applications,May 13 2026 7:30AM
94,M-4823,GAGAN PATHOLOGY AND IMAGING PRIVATE LIMITED,nabl033095,2022,Medical,Renewal of Accreditation,ANKUR GARG,gaganlab@yahoo.com,9899265855,"D-14/152-153, 2ND FLOOR, 154-155, SECTOR 3, ROHINI",Delhi,New Delhi,110085,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6091,30/01/2025,29/01/2029,,,Archive Applications,May 13 2026 7:30AM
95,M-4852,GANESH HOSPITAL PRIVATE LIMITED-LABORATORY,nabl033116,2022,Medical,Renewal of Accreditation,PRATEEK SHARMA,prateek.healthcare@gmail.com,9599633766,"II-C/3, NEHRU NAGAR",Uttar Pradesh,Ghaziabad,201001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology & Immunohaematology",,MC-6362,06/03/2026,05/03/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
96,M-4889,LABORATORY-EMS MEMORIAL CO-OPERATIVE HOSPITAL AND RESEARCH CENTRE LIMITED,nabl033162,2022,Medical,Renewal of Accreditation,JASMINE PT,drjassyed@gmail.com,9947701565,"FIRST FLOOR, MAIN BLOCK LABORATORY-EMS MEMORIAL CO-OPERATIVE HOSPITAL AND RESEARCH CENTRE LIMITED, PERINTHALMANNA",Kerala,Malappuram,679322,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-6318,13/02/2026,12/02/2030,,02/03/2026,Haribabu Aennampalli,May 13 2026 7:30AM
97,M-4841,4M DIAGNOSTIC & HEALTH CARE (DEPARTMENT OF LABORATORY SERVICES),nabl033173,2022,Medical,Onsite Surveillance,MOUSUMI DAS,mousumid1977@gmail.com,9831718406,"402, SCHOOL ROAD, SONARPUR",West Bengal,24 Parganas (s),700151,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6583,26/09/2025,04/06/2026,,,Gayathri S,May 13 2026 7:30AM
98,M-4858,"DEPARTMENT OF HISTOPATHOLOGY & CYTOPATHOLOGY, GOVT. KILPAUK MEDICAL COLLEGE & HOSPITAL",nabl033211,2022,Medical,Renewal of Accreditation,A JAMILA,drjamilarose@yahoo.com,9841066329,"822, POONAMALLEE HIGH RD, KILPAUK",Tamil Nadu,Chennai,600010,Accreditation Certificate Approved and Issued,"Cytopathology,Histopathology",,MC-6245,03/01/2026,02/01/2030,,,Archive Applications,May 13 2026 7:30AM
99,M-5289,SHRI VINAYAGA DIAGNOSTICS,nabl033294,2022,Medical,NABL 201,DHANDAPANI,dhandapani@svscan.com,9894664095,"NO. 190, WEST KAMARAJAPURAM STREET, SENGUNTHAPURAM",Tamil Nadu,Karur,639002,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7092,18/07/2025,15/01/2029,,,Archive Applications,May 13 2026 7:30AM
100,M-4872,"ZYNOVA HOSPITALS PRIVATE LIMITED, PATHOLOGY DEPARTMENT",nabl033302,2022,Medical,Renewal of Accreditation,MANASVI BABAN KAMBLE,pathology@zynovahospitals.com,8928517486,"PLOT NO 8B, AMBIKA ASHISH, 1896, 1897, 1898, 1899, VILLAGE GHATKOPAR, KIROL, LBS MARG, GANDHI NAGAR, GHATKOPAR WEST",Maharashtra,Mumbai,400086,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-8053,23/04/2026,22/04/2030,,,Archive Applications,May 13 2026 7:30AM
1,M-5169,ATMIYA PATHOLOGY LABORATORY,nabl033306,2022,Medical,Onsite Surveillance,MITESHKUMAR B SHAH,atmiyalabs@gmail.com,9898027431,"1, RAAG DUPLEX, SUBHANPURA",Gujarat,Vadodara,390023,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6886,30/12/2025,02/10/2028,,,Haribabu Aennampalli,May 13 2026 7:30AM
2,M-4882,METROPOLIS HEALTHCARE LTD,nabl033467,2022,Medical,Renewal of Accreditation,SUREKHA MAHALE,surekhamahale.nk@metropolisindia.com,8237077803,"PLOT NO-1, SURVEY NO-733/1/2/1, UNITED LEGEND BUILDING, 2ND FLOOR, MAHATMA NAGAR ROAD, PARIJAT NAGAR",Maharashtra,Nashik,422005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6143,27/02/2026,26/02/2030,,,Shweta Sinha,May 13 2026 7:30AM
3,M-4865,"ZYDUS LIFESCIENCES LIMITED, ZYDUS RESEARCH CENTRE, CLINICAL PATHOLOGY LABORATORY",nabl033477,2022,Medical,Renewal of Accreditation,KALPESH GANDHI,KALPESHGANDHI@ZYDUSCADILA.COM,9898258355,"SURVEY NO 396/403, SARKHEJ - BAVLA NH NO. 8A, MORAIYA",Gujarat,Ahmedabad,382210,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-6011,27/12/2025,26/12/2029,,31/12/2025,Archive Applications,May 13 2026 7:30AM
4,M-4874,"ECRON ACUNOVA LTD, CLINICAL TESTING LABORATORY",nabl033560,2022,Medical,NABL 201,VIJAY KUMAR,vijaykumar@navitaslifesciences.com,7022280400,NO 52-2,Karnataka,Manipal,576104,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6687,13/08/2025,25/07/2026,,,Archive Applications,May 13 2026 7:30AM
5,M-4859,RDPL ROYAL DIAGNOSTICS PRIVATE LIMITED,nabl033573,2022,Medical,Renewal of Accreditation,RAJENDER SINGH KULHARI,nablrdpl@gmail.com,8696411119,"SHOP-17,18,19, VIDYUT NAGAR, DCM",Rajasthan,Jaipur,302021,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6274,18/01/2026,17/01/2030,,,Archive Applications,May 13 2026 7:30AM
6,M-5069,RXANWESHANA PRIVATE LIMITED,nabl033584,2022,Medical,Onsite Surveillance,Anindiata Chakraborty,anweshanaworld@gmail.com,6295040902,"SEKHPURA, CHURCH ROAD, KERANITOLA",West Bengal,Midnapur,721101,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",",--Select Group--",MC-6695,26/09/2025,29/07/2026,,,Archive Applications,May 13 2026 7:30AM
7,M-4914,"LABORATORY SERVICES, SMT. SMS MULTISPECIALITY HOSPITAL, (DR. MKSMCRC)",nabl033637,2022,Medical,Renewal of Accreditation,FALGUNI PATEL,hod_pathology@mkshahmcrc.org,9714690746,"1ST FLOOR, BLOCK A B, VISAT-GANDHINAGAR HIGHWAY, MOTERA",Gujarat,Ahmedabad,382424,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6462,17/04/2026,16/04/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
8,M-4890,REDCLIFFE LIFETECH PRIVATE LIMITED,nabl033649,2022,Medical,Renewal of Accreditation,Pradeep Kumar,pradeep.chaudhary@redcliffelabs.com,8979891946,"BUILDING NO. 168, FIRST FLOOR, SARATHY, 9TH MAIN, SECTOR 6, HSR LAYOUT",Karnataka,Bengaluru,560102,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-6353,01/03/2026,28/02/2030,,11/03/2026,Archive Applications,May 13 2026 7:30AM
9,M-4949,"DEPARTMENT OF LABORATORY MEDICINE, MANIPAL HOSPITAL",nabl033669,2022,Medical,Renewal of Accreditation,M. ANUPAMA,anupama.k@manipalhospitals.com,9989166555,"NH5, NEAR VARADHI",Andhra Pradesh,Tadepalle,522501,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6209,27/02/2026,26/02/2030,,,Shweta Sinha,May 13 2026 7:30AM
10,M-4989,PATHKIND DIAGNOSTICS PRIVATE LIMITED,nabl033850,2022,Medical,Renewal of Accreditation,LONA MOHAPATRA,lona.mohapatra@pathkindlabs.com,9958415656,"PLOT NO. C-256, UDYAN MARG, FOREST PARK",Odisha,Bhubaneswar,751009,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6463,17/04/2026,16/04/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
11,M-5178,PATHKIND DIAGNOSTICS PRIVATE LIMITED,nabl033869,2022,Medical,Onsite Surveillance,NEELAKSHI DEKA,neelakshi.deka@pathkindlabs.com,9706043233,"GROUND FLOOR, F FORT, KACHARI BASTI",Assam,Guwahati,781007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6675,19/11/2025,11/07/2026,,,Gayathri S,May 13 2026 7:30AM
12,M-4869,"CENTER FOR CLINICAL INVESTIGATIONS (CCI), SIR SUNDERLAL HOSPITAL, INSTITUTE OF MEDICAL SCIENCES, BANARAS HINDU UNIVERSITY",nabl033886,2022,Medical,Renewal of Accreditation,SURENDRA PRATAP MISHRA,ccilabbhu@gmail.com,9453172674,BANARAS HINDU UNIVERSITY (BHU),Uttar Pradesh,Varanasi,221005,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7907,27/01/2026,26/01/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
13,M-4911,MEDI 5 DIAGNOSTICS,nabl034001,2022,Medical,Onsite Surveillance,JAYAPRAKASH,jayaprakash@medi5.in,7227974262,"H.NO. 4-109, P NO.02, GANDIMAISAMMA X ROAD, BAHADURPALLY, MEDCHAL MALKAJGIRI",Telangana,Hyderabad,500043,Accreditation Certificate Approved and Issued,Haematology,,MC-6760,22/09/2025,22/08/2026,,,Gayathri S,May 13 2026 7:30AM
14,M-5066,OLIV HEALTH PATH LAB (A UNIT OF NIRAMAYAA CONSULTING INDIA PVT. LTD.),nabl034020,2022,Medical,First Accreditation,Ruchi Dinkar,olivhealthqms@gmail.com,9721483635,"B-48, VIBHUTI KHAND, GOMTI NAGAR",Uttar Pradesh,Lucknow,226021,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing",,MC-6796,09/09/2024,08/09/2026,,,Archive Applications,May 13 2026 7:30AM
15,M-5016,ENDOCRINE LABORATORY AND RESEARCH CENTRE PRIVATE LIMITED,nabl034031,2022,Medical,Onsite Surveillance,DINESH SONI,endocrinelaboratory9@gmail.com,9827437123,"100- JAORA COMPOUND, M.Y. HOSPITAL",Madhya Pradesh,Indore,452001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6997,29/11/2024,28/11/2028,,22/01/2026,Haribabu Aennampalli,May 13 2026 7:30AM
16,M-4886,"ASIAN INSTITUTE OF MEDICAL SCIENCES (AIMS HOSPITAL), LABORATORY MEDICINE DEPARTMENT",nabl034103,2022,Medical,Onsite Surveillance,Pooja Maurya,labquality@aimshospital.co.in,8879854959,"PLOT P-72, MILAP NAGAR, MIDC, DOMBIVLI EAST",Maharashtra,Thane,421203,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Microbiology & Infectious disease serology",",--Select Group--",MC-6603,22/08/2025,17/06/2026,,,Archive Applications,May 13 2026 7:30AM
17,M-5055,NKG DIAGNOSTICS PRIVATE LIMITED,nabl034147,2022,Medical,Onsite Surveillance,GOURAV DAS,nkgdiagnostics@gmail.com,9830296179,"12, JATINDRA MOHAN AVENUE",West Bengal,Kolkata,700006,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6631,22/09/2025,25/06/2026,,08/10/2025,Haribabu Aennampalli,May 13 2026 7:30AM
18,M-4877,INDRA DIAGNOSTIC CENTER,nabl034217,2022,Medical,Renewal of Accreditation,Chandrashekhar Verma,indralabs.vns@gmail.com,8169375288,"NH-2 ROAD, AKHARI BYPASS CROSSING",Uttar Pradesh,Varanasi,221011,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Haematology & Immunohaematology",",--Select Group--,--No Data--",MC-6332,22/02/2026,21/02/2030,,12/03/2026,Archive Applications,May 13 2026 7:30AM
19,M-5043,Genexplore Diagnostics and ResearcH Center Private Limited,nabl034271,2022,Medical,Renewal of Accreditation,SHIVA SHANKARAN CHETTIAR,info@genexplore.co.in,9586022557,"1201-1210, 12TH FLOOR, ICONIC SHYAMAL, SHYAMAL CROSS ROAD,132 FEET RING ROAD",Gujarat,Ahmedabad,380015,Accreditation Certificate Approved and Issued,"Molecular Testing,Cytogenetics",,MC-6924,21/10/2024,20/10/2028,,,Archive Applications,May 13 2026 7:30AM
20,M-4950,RP MEDHELIX DIAGNOSTICS PRIVATE LIMITED,nabl034464,2022,Medical,Renewal of Accreditation,RAGHUNATH N UNNI,pathquality1@gmail.com,9946142899,"44/1823 (35/3097 B), FIRST FLOOR, POMONA ANNEXE, THAMMANAM ROAD, PALARIVATTOM",Kerala,Kochi,682025,Accreditation Certificate Approved and Issued,"Cytopathology,Histopathology",,MC-6424,22/03/2026,21/03/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
21,M-4898,VIJAYA DIAGNOSTIC CENTRE LIMITED,nabl034516,2022,Medical,Renewal of Accreditation,VIJAYASREE MATHE,vijayasree.mathe@vijayadiagnostic.in,9989701120,"D NO. 173/4/5, MANGALGANTI, NAZRUL ISLAM SARANI (VIP ROAD), 24 PARAGANAS NORTH",West Bengal,Kolkata,700052,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-6404,21/03/2026,20/03/2030,,30/03/2026,Archive Applications,May 13 2026 7:30AM
22,M-5206,MICROBIOLOGY LABORATORY AIIMS PATNA,nabl034522,2022,Medical,First Accreditation,BHASKAR THAKURIA,drbhaskart@aiimspatna.org,9410531002,"PATNA-AURANGABAD RD, PHULWARI SHARIF",Bihar,Patna,801507,Accreditation Certificate Approved and Issued,Microbiology & Infectious disease serology,,MC-6753,23/08/2024,22/08/2026,,,Archive Applications,May 13 2026 7:30AM
23,M-4927,OCEANITE MEDICAL SERVICES PRIVATE LIMITED (DEPARTMENT OF LABORATORY SERVICES),nabl034623,2022,Medical,Renewal of Accreditation,SHOMADRITA BISWAS,operations@oceanite.in,9831770817,"32/1, K.P ROY LANE, SAHID NAGAR",West Bengal,Kolkata,700031,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-8033,10/04/2026,09/04/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
24,M-4926,"ELS DIAGNOSTIC CENTRE (A UNIT OF PRECISE EDUCATIONAL, SOCIAL & CULTURAL ORGANISATION)",nabl034663,2022,Medical,First Accreditation,PUSPENDRA,elsdiagnostic@gmail.com,7727051229,"SUSHEELA INSTITUTE OF PARAMEDICAL SCIENCES, STATION ROAD",Rajasthan,Nawalgarh,333042,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6834,14/09/2024,13/09/2026,,,Archive Applications,May 13 2026 7:30AM
25,M-4891,CHENNAI RAJMEDICARE LAB Private Limited,nabl034669,2022,Medical,Renewal of Accreditation,T RAMESH KUMAR,rameshkumar4v@yahoo.co.in,9841074668,"OLD NO: 24, NEW NO.26, NANDHI LOOP STREET, (WEST CIT NAGAR), NANDANAM",Tamil Nadu,Chennai,600035,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6288,30/01/2026,29/01/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
26,M-4928,BHARAT SEVASHRAM SANGHA HOSPITAL (DEPARTMENT OF PATHOLOGY),nabl034680,2022,Medical,First Accreditation,Pronab Das,bsshos@gmail.com,9831365964,"DIAMOND HARBOUR ROAD, PAILAN, BISHNUPUR, KOLKATA",West Bengal,24 Parganas (s),700104,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6562,31/05/2024,30/05/2026,,,Archive Applications,May 13 2026 7:30AM
27,M-4884,NEUBERG ANAND REFERENCE LABORATORY- A UNIT OF NEUBERG DIAGNOSTICS PVT. LTD.,nabl034723,2022,Medical,Renewal of Accreditation,Sheela ashok,sheela@neubergdiagnostics.com,9449866260,"ANAND TOWER, #54, BOWRING HOSPITAL ROAD, SHIVAJINAGAR",Karnataka,Bengaluru,560001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,MI CAB - Ultrasound and Color Doppler,MI CAB - Projectional Radiography and Fluoroscopy,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-6072,22/06/2025,21/06/2029,,,Archive Applications,May 13 2026 7:30AM
28,M-5024,METROPOLIS HEALTHCARE LIMITED,nabl034755,2022,Medical,Onsite Surveillance,SURESH,sureshg.lm@metropolisindia.com,9944143774,"IMMUNO ANCILLARY CLINICAL SERVICES NO: 161, WEST TV SWAMY ROAD, R.S. PURAM",Tamil Nadu,Coimbatore,641002,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6767,11/09/2025,26/08/2026,,,Archive Applications,May 13 2026 7:30AM
29,M-4967,MARINE MEDICAL SERVICES,nabl034772,2022,Medical,Renewal of Accreditation,ASHISH CHAUDHARI,mmsnabl1999@gmail.com,9820189028,"703, SAMARPAN COMPLEX, CHAKALA ANDHERI EAST",Maharashtra,Mumbai,400099,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6417,21/03/2026,20/03/2030,,,Archive Applications,May 13 2026 7:30AM
